;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
ENG141684-SFT271947-Slave_systems_identification-Humidity sensor: interior,Not available ,6
ENG141684-SFT271966-Slave_systems_identification-Left head area heater,Not available ,6
ENG141684-SFT271967-Slave_systems_identification-Right head area heater,Not available ,6
ENG141684-SFT272065-Slave_systems_identification-Blower 1 for left front backrest,Not available ,6
ENG141684-SFT272067-Slave_systems_identification-Blower 1 for left front seat cushion,Not available ,6
ENG141684-SFT272069-Slave_systems_identification-Blower 1 for right front backrest,Not available ,6
ENG141684-SFT272071-Slave_systems_identification-Blower 1 for right front seat cushion,Not available ,6
ENG153742-ENG154567-SMLS_konfig_entw-blinker_err_el_kurzschluss,No Response From Subnet Component,6
ENG153742-ENG154568-SMLS_konfig_entw-blinker_err_el_unterbrechung,No Response From Subnet Component,6
ENG153742-ENG154569-SMLS_konfig_entw-blinker_err_fernlicht_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154570-SMLS_konfig_entw-blinker_err_fernlicht_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154571-SMLS_konfig_entw-blinker_err_gra_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154572-SMLS_konfig_entw-blinker_err_gra_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154573-SMLS_konfig_entw-blinker_err_lichthupe_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154574-SMLS_konfig_entw-blinker_err_lichthupe_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154575-SMLS_konfig_entw-blinker_err_unplausibel,No Response From Subnet Component,6
ENG153742-ENG154576-SMLS_konfig_entw-blinker_err_weckkontakthaengt_aus,No Response From Subnet Component,6
ENG153742-ENG154577-SMLS_konfig_entw-blinker_err_weckkontakthaengt_ein,No Response From Subnet Component,6
ENG153742-ENG154594-SMLS_konfig_entw-entprellung_unplausibel,No Response From Subnet Component,6
ENG153742-ENG154595-SMLS_konfig_entw-entprellzeit_ueberspannung,No Response From Subnet Component,6
ENG153742-ENG154596-SMLS_konfig_entw-entprellzeit_unterspannung,No Response From Subnet Component,6
ENG153742-ENG154622-SMLS_konfig_entw-gra_ea_error,No Response From Subnet Component,6
ENG153742-ENG154625-SMLS_konfig_entw-grahebel_err_el_kurzschluss,No Response From Subnet Component,6
ENG153742-ENG154626-SMLS_konfig_entw-grahebel_err_el_unterbrechung,No Response From Subnet Component,6
ENG153742-ENG154627-SMLS_konfig_entw-grahebel_err_gra_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154628-SMLS_konfig_entw-grahebel_err_gra_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154629-SMLS_konfig_entw-grahebel_err_unplausibel,No Response From Subnet Component,6
ENG153742-ENG154687-SMLS_konfig_entw-hupe_err_hinweis,No Response From Subnet Component,6
ENG153742-ENG154688-SMLS_konfig_entw-hupe_err_hupe_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154689-SMLS_konfig_entw-hupe_err_hupe_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154700-SMLS_konfig_entw-lrh_kurzschluss_entprellen,No Response From Subnet Component,6
ENG153742-ENG154701-SMLS_konfig_entw-lrh_unterbrechung_entprellen,No Response From Subnet Component,6
ENG153742-ENG154701-SMLS_konfig_entw-lrh_unterbrechung_entprellen,No Response From Subnet Component,6
ENG153742-ENG154701-SMLS_konfig_entw-lrh_unterbrechung_entprellen,No Response From Subnet Component,6
ENG153742-ENG154707-SMLS_konfig_entw-n_fehler_verriegelt,No Response From Subnet Component,6
ENG153742-ENG154780-SMLS_konfig_entw-spannung_obere_schwelle,No Response From Subnet Component,6
ENG153742-ENG154781-SMLS_konfig_entw-spannung_obere_schwelle_funkt_einschr,No Response From Subnet Component,6
ENG153742-ENG154782-SMLS_konfig_entw-spannung_untere_schwelle,No Response From Subnet Component,6
ENG153742-ENG154783-SMLS_konfig_entw-spannung_untere_schwelle_funkt_einschr,No Response From Subnet Component,6
ENG153742-ENG154805-SMLS_konfig_entw-verriegelt_err_el_kurzschluss,No Response From Subnet Component,6
ENG153742-ENG154806-SMLS_konfig_entw-verriegelt_err_unplausibel_aus,No Response From Subnet Component,6
ENG153742-ENG154807-SMLS_konfig_entw-verriegelt_err_unplausibel_ein,No Response From Subnet Component,6
ENG153742-ENG154808-SMLS_konfig_entw-verriegelt_err_unplausibel_in_parkposition_aus,No Response From Subnet Component,6
ENG153742-ENG154809-SMLS_konfig_entw-verriegelt_err_unplausibel_in_parkposition_ein,No Response From Subnet Component,6
ENG153742-ENG154812-SMLS_konfig_entw-wischer_err_el_kurzschluss,No Response From Subnet Component,6
ENG153742-ENG154813-SMLS_konfig_entw-wischer_err_el_unterbrechung,No Response From Subnet Component,6
ENG153742-ENG154814-SMLS_konfig_entw-wischer_err_intervallpoti_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154815-SMLS_konfig_entw-wischer_err_intervallpoti_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154816-SMLS_konfig_entw-wischer_err_mfa_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154817-SMLS_konfig_entw-wischer_err_mfa_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154818-SMLS_konfig_entw-wischer_err_unplausibel,No Response From Subnet Component,6
ENG153742-ENG154819-SMLS_konfig_entw-wischer_err_waschen_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154820-SMLS_konfig_entw-wischer_err_waschen_haengt_ein,No Response From Subnet Component,6
ENG153742-ENG154821-SMLS_konfig_entw-wischer_err_wischen_haengt_aus,No Response From Subnet Component,6
ENG153742-ENG154822-SMLS_konfig_entw-wischer_err_wischen_haengt_ein,No Response From Subnet Component,6
ENG116588-ENG116589-Sonderfunktionen-Signalprioritaet fuer Blinker,MFG ,4
ENG116588-Sonderfunktionen-,not enabled ,4
ENG116588-ENG141979-Sonderfunktionen-Sonderfunktionen 1,not installed ,4
ENG141635-ENG116658-Spiegelverstellung-Funk Spiegelanklappen,active ,5
ENG141635-ENG116665-Spiegelverstellung-Funk Spiegelanklappung Modus,by look command via remote control key ,5
ENG141635-ENG116660-Spiegelverstellung-Menuesteuerung Funk Spiegel anklappen,active ,5
ENG141635-ENG116657-Spiegelverstellung-Menuesteuerung Spiegelabsenkung,active ,5
ENG141635-ENG116659-Spiegelverstellung-Menuesteuerung synchrone Spiegelverstellung,active ,5
ENG141635-ENG126841-Spiegelverstellung-Profilfunktion fuer Anklappung der Aussenspiegel,active ,5
ENG141635-ENG126610-Spiegelverstellung-Signalisierung_Spiegelanklappung,active ,5
ENG141635-ENG116650-Spiegelverstellung-Spiegelabsenkung bei Rueckwaertsfahrt,active ,5
ENG141635-ENG133411-Spiegelverstellung-Spiegelanklappen_bei_Wiederverriegelung,active ,5
ENG141635-ENG116656-Spiegelverstellung-Spiegelverstellung Synchron,active ,5
ENG153700-ENG154515-Steering Column Switch-Anzahl_fehler_P-verriegelt,250 ,10
ENG153700-ENG154621-Steering Column Switch-Geschwindigkeitesschwele_erkennung_fahrt_P_plausibel,10 km/h,10
ENG153700-ENG154803-Steering Column Switch-Verbauort_Lenkstockschalter,CAN ,10
ENG153700-ENG154828-Steering Column Switch-Zeit_erkennung_fahrt_für_P_plausibel,10.0 min,10
ENG153700-ENG154829-Steering Column Switch-Zeit_t_P-verriegelt_entprellen,40 ms,10
ENG141678-ENG115658-Suchbeleuchtung_58_xs_Bus_Kennlinie-x0,0.0 lx,10
ENG141678-ENG101574-Suchbeleuchtung_58_xs_Bus_Kennlinie-X1,8.0 lx,10
ENG141678-ENG99557-Suchbeleuchtung_58_xs_Bus_Kennlinie-X2,50.0 lx,10
ENG141678-ENG102140-Suchbeleuchtung_58_xs_Bus_Kennlinie-X3,80.0 lx,10
ENG141678-ENG102936-Suchbeleuchtung_58_xs_Bus_Kennlinie-X4,100.0 lx,10
ENG141678-ENG115659-Suchbeleuchtung_58_xs_Bus_Kennlinie-y0,6.0 ,10
ENG141678-ENG99777-Suchbeleuchtung_58_xs_Bus_Kennlinie-Y1,6.0 ,10
ENG141678-ENG100480-Suchbeleuchtung_58_xs_Bus_Kennlinie-Y2,20.0 ,10
ENG141678-ENG100773-Suchbeleuchtung_58_xs_Bus_Kennlinie-Y3,50.0 ,10
ENG141678-ENG100631-Suchbeleuchtung_58_xs_Bus_Kennlinie-Y4,100.0 ,10
ENG141679-ENG115658-Suchbeleuchtung_58xt_Bus_Kennlinie-x0,0.0 lx,10
ENG141679-ENG101574-Suchbeleuchtung_58xt_Bus_Kennlinie-X1,8.0 lx,10
ENG141679-ENG99557-Suchbeleuchtung_58xt_Bus_Kennlinie-X2,50.0 lx,10
ENG141679-ENG102140-Suchbeleuchtung_58xt_Bus_Kennlinie-X3,80.0 lx,10
ENG141679-ENG102936-Suchbeleuchtung_58xt_Bus_Kennlinie-X4,100.0 lx,10
ENG141679-ENG115659-Suchbeleuchtung_58xt_Bus_Kennlinie-y0,6.0 ,10
ENG141679-ENG99777-Suchbeleuchtung_58xt_Bus_Kennlinie-Y1,6.0 ,10
ENG141679-ENG100480-Suchbeleuchtung_58xt_Bus_Kennlinie-Y2,20.0 ,10
ENG141679-ENG100773-Suchbeleuchtung_58xt_Bus_Kennlinie-Y3,50.0 ,10
ENG141679-ENG100631-Suchbeleuchtung_58xt_Bus_Kennlinie-Y4,100.0 ,10
ENG141666-ENG115658-Suchbeleuchtung_Abdimmen-x0,0 ms,22
ENG141666-ENG101574-Suchbeleuchtung_Abdimmen-X1,200 ms,22
ENG141666-ENG115664-Suchbeleuchtung_Abdimmen-x10,2000 ms,22
ENG141666-ENG99557-Suchbeleuchtung_Abdimmen-X2,400 ms,22
ENG141666-ENG102140-Suchbeleuchtung_Abdimmen-X3,600 ms,22
ENG141666-ENG102936-Suchbeleuchtung_Abdimmen-X4,800 ms,22
ENG141666-ENG103548-Suchbeleuchtung_Abdimmen-X5,1000 ms,22
ENG141666-ENG113992-Suchbeleuchtung_Abdimmen-X6,1200 ms,22
ENG141666-ENG115661-Suchbeleuchtung_Abdimmen-x7,1400 ms,22
ENG141666-ENG115662-Suchbeleuchtung_Abdimmen-x8,1600 ms,22
ENG141666-ENG115663-Suchbeleuchtung_Abdimmen-x9,1800 ms,22
ENG141666-ENG115659-Suchbeleuchtung_Abdimmen-y0,100.0 %,22
ENG141666-ENG99777-Suchbeleuchtung_Abdimmen-Y1,100.0 %,22
ENG141666-ENG115668-Suchbeleuchtung_Abdimmen-y10,0.0 %,22
ENG141666-ENG100480-Suchbeleuchtung_Abdimmen-Y2,95.0 %,22
ENG141666-ENG100773-Suchbeleuchtung_Abdimmen-Y3,80.0 %,22
ENG141666-ENG100631-Suchbeleuchtung_Abdimmen-Y4,40.0 %,22
ENG141666-ENG102174-Suchbeleuchtung_Abdimmen-Y5,20.0 %,22
ENG141666-ENG113993-Suchbeleuchtung_Abdimmen-Y6,10.0 %,22
ENG141666-ENG115665-Suchbeleuchtung_Abdimmen-y7,5.0 %,22
ENG141666-ENG115666-Suchbeleuchtung_Abdimmen-y8,3.0 %,22
ENG141666-ENG115667-Suchbeleuchtung_Abdimmen-y9,1.0 %,22
ENG141663-ENG142240-Suchbeleuchtung_allgemein-Daempfung Abdimmen KL 58xd PWM,0.00 s,21
ENG141663-ENG154582-Suchbeleuchtung_allgemein-Daempfung_Abdimmen_KL_58xs_PWM,0.00 s,21
ENG141663-ENG154583-Suchbeleuchtung_allgemein-Daempfung_Abdimmen_KL_58xt_PWM,0.00 s,21
ENG141663-ENG154584-Suchbeleuchtung_allgemein-Daempfung_Aufdimmen_KL_58xd_PWM,0.00 s,21
ENG141663-ENG154585-Suchbeleuchtung_allgemein-Daempfung_Aufdimmen_KL_58xt_PWM,0.00 s,21
ENG141663-ENG141988-Suchbeleuchtung_allgemein-Eingabemedium_Suchbeleuchtung,HMI ,21
ENG141663-ENG142242-Suchbeleuchtung_allgemein-Helligkeit_RLS_Daempfung_Abdimmen,20.0 s,21
ENG141663-ENG142241-Suchbeleuchtung_allgemein-Helligkeit_RLS_Daempfung_Aufdimmen,3.0 s,21
ENG141663-ENG116598-Suchbeleuchtung_allgemein-KL58 Einschalten mit Rampe,not active ,21
ENG141663-ENG116599-Suchbeleuchtung_allgemein-KL58 Verriegelungsausschalten,not_active ,21
ENG141663-ENG116600-Suchbeleuchtung_allgemein-Lichtsensor wirkt auf Suchbeleuchtung,active ,21
ENG141663-ENG142243-Suchbeleuchtung_allgemein-pa_Hysterese_RLS,2 ,21
ENG141663-ENG154712-Suchbeleuchtung_allgemein-PWM_Daempfung_Aufdimmen_KL58xs_PWM,0.00 s,21
ENG141663-ENG115631-Suchbeleuchtung_allgemein-Suchbeleuchtung Festwert,100 %,21
ENG141663-ENG142234-Suchbeleuchtung_allgemein-Umgebungs_helligkeit_auswahl,Fotosensor_Kombi ,21
ENG141663-ENG115819-Suchbeleuchtung_allgemein-Warnblinktastersuchbeleuchtung Aktivierung,Always active ,21
ENG141663-ENG115821-Suchbeleuchtung_allgemein-Warnblinktastersuchbeleuchtung Faktor,0.100 ,21
ENG141663-ENG115820-Suchbeleuchtung_allgemein-Warnblinktastersuchbeleuchtung Grundwert,6.0 %,21
ENG141667-ENG115658-Suchbeleuchtung_Fotosensor-x0,0 ,22
ENG141667-ENG101574-Suchbeleuchtung_Fotosensor-X1,50 ,22
ENG141667-ENG115664-Suchbeleuchtung_Fotosensor-x10,0 ,22
ENG141667-ENG99557-Suchbeleuchtung_Fotosensor-X2,100 ,22
ENG141667-ENG102140-Suchbeleuchtung_Fotosensor-X3,200 ,22
ENG141667-ENG102936-Suchbeleuchtung_Fotosensor-X4,253 ,22
ENG141667-ENG103548-Suchbeleuchtung_Fotosensor-X5,0 ,22
ENG141667-ENG113992-Suchbeleuchtung_Fotosensor-X6,0 ,22
ENG141667-ENG115661-Suchbeleuchtung_Fotosensor-x7,0 ,22
ENG141667-ENG115662-Suchbeleuchtung_Fotosensor-x8,0 ,22
ENG141667-ENG115663-Suchbeleuchtung_Fotosensor-x9,0 ,22
ENG141667-ENG115659-Suchbeleuchtung_Fotosensor-y0,0 lx,22
ENG141667-ENG99777-Suchbeleuchtung_Fotosensor-Y1,50 lx,22
ENG141667-ENG115668-Suchbeleuchtung_Fotosensor-y10,0 lx,22
ENG141667-ENG100480-Suchbeleuchtung_Fotosensor-Y2,100 lx,22
ENG141667-ENG100773-Suchbeleuchtung_Fotosensor-Y3,200 ,22
ENG141667-ENG100631-Suchbeleuchtung_Fotosensor-Y4,500 ,22
ENG141667-ENG102174-Suchbeleuchtung_Fotosensor-Y5,0 ,22
ENG141667-ENG113993-Suchbeleuchtung_Fotosensor-Y6,0 lx,22
ENG141667-ENG115665-Suchbeleuchtung_Fotosensor-y7,0 lx,22
ENG141667-ENG115666-Suchbeleuchtung_Fotosensor-y8,0 lx,22
ENG141667-ENG115667-Suchbeleuchtung_Fotosensor-y9,0 lx,22
ENG141665-ENG115658-Suchbeleuchtung_Hochdimmen-x0,0 ms,22
ENG141665-ENG101574-Suchbeleuchtung_Hochdimmen-X1,200 ms,22
ENG141665-ENG115664-Suchbeleuchtung_Hochdimmen-x10,2000 ms,22
ENG141665-ENG99557-Suchbeleuchtung_Hochdimmen-X2,400 ms,22
ENG141665-ENG102140-Suchbeleuchtung_Hochdimmen-X3,600 ms,22
ENG141665-ENG102936-Suchbeleuchtung_Hochdimmen-X4,800 ms,22
ENG141665-ENG103548-Suchbeleuchtung_Hochdimmen-X5,1000 ms,22
ENG141665-ENG113992-Suchbeleuchtung_Hochdimmen-X6,1200 ms,22
ENG141665-ENG115661-Suchbeleuchtung_Hochdimmen-x7,1400 ms,22
ENG141665-ENG115662-Suchbeleuchtung_Hochdimmen-x8,1600 ms,22
ENG141665-ENG115663-Suchbeleuchtung_Hochdimmen-x9,1800 ms,22
ENG141665-ENG115659-Suchbeleuchtung_Hochdimmen-y0,0.0 %,22
ENG141665-ENG99777-Suchbeleuchtung_Hochdimmen-Y1,1.0 %,22
ENG141665-ENG115668-Suchbeleuchtung_Hochdimmen-y10,100.0 %,22
ENG141665-ENG100480-Suchbeleuchtung_Hochdimmen-Y2,3.0 %,22
ENG141665-ENG100773-Suchbeleuchtung_Hochdimmen-Y3,5.0 %,22
ENG141665-ENG100631-Suchbeleuchtung_Hochdimmen-Y4,11.0 %,22
ENG141665-ENG102174-Suchbeleuchtung_Hochdimmen-Y5,22.0 %,22
ENG141665-ENG113993-Suchbeleuchtung_Hochdimmen-Y6,40.0 %,22
ENG141665-ENG115665-Suchbeleuchtung_Hochdimmen-y7,80.0 %,22
ENG141665-ENG115666-Suchbeleuchtung_Hochdimmen-y8,95.0 %,22
ENG141665-ENG115667-Suchbeleuchtung_Hochdimmen-y9,100.0 %,22
ENG141669-ENG115658-Suchbeleuchtung_KL 58xs max-x0,0 lx,8
ENG141669-ENG101574-Suchbeleuchtung_KL 58xs max-X1,8 lx,8
ENG141669-ENG99557-Suchbeleuchtung_KL 58xs max-X2,50 lx,8
ENG141669-ENG102140-Suchbeleuchtung_KL 58xs max-X3,500 lx,8
ENG141669-ENG115659-Suchbeleuchtung_KL 58xs max-y0,100.0 ,8
ENG141669-ENG99777-Suchbeleuchtung_KL 58xs max-Y1,100.0 ,8
ENG141669-ENG100480-Suchbeleuchtung_KL 58xs max-Y2,100.0 ,8
ENG141669-ENG100773-Suchbeleuchtung_KL 58xs max-Y3,100.0 ,8
ENG141668-ENG115658-Suchbeleuchtung_KL 58xs min-x0,0 lx,8
ENG141668-ENG101574-Suchbeleuchtung_KL 58xs min-X1,8 lx,8
ENG141668-ENG99557-Suchbeleuchtung_KL 58xs min-X2,50 lx,8
ENG141668-ENG102140-Suchbeleuchtung_KL 58xs min-X3,500 lx,8
ENG141668-ENG115659-Suchbeleuchtung_KL 58xs min-y0,6.0 ,8
ENG141668-ENG99777-Suchbeleuchtung_KL 58xs min-Y1,6.0 ,8
ENG141668-ENG100480-Suchbeleuchtung_KL 58xs min-Y2,100.0 ,8
ENG141668-ENG100773-Suchbeleuchtung_KL 58xs min-Y3,100.0 ,8
ENG141674-ENG115658-Suchbeleuchtung_KL_58xd_log_Bus-x0,0.0 %,12
ENG141674-ENG101574-Suchbeleuchtung_KL_58xd_log_Bus-X1,6.0 %,12
ENG141674-ENG99557-Suchbeleuchtung_KL_58xd_log_Bus-X2,16.0 %,12
ENG141674-ENG102140-Suchbeleuchtung_KL_58xd_log_Bus-X3,30.0 %,12
ENG141674-ENG102936-Suchbeleuchtung_KL_58xd_log_Bus-X4,60.0 %,12
ENG141674-ENG103548-Suchbeleuchtung_KL_58xd_log_Bus-X5,100.0 %,12
ENG141674-ENG115659-Suchbeleuchtung_KL_58xd_log_Bus-y0,10 ,12
ENG141674-ENG99777-Suchbeleuchtung_KL_58xd_log_Bus-Y1,10 ,12
ENG141674-ENG100480-Suchbeleuchtung_KL_58xd_log_Bus-Y2,100 ,12
ENG141674-ENG100773-Suchbeleuchtung_KL_58xd_log_Bus-Y3,150 ,12
ENG141674-ENG100631-Suchbeleuchtung_KL_58xd_log_Bus-Y4,220 ,12
ENG141674-ENG102174-Suchbeleuchtung_KL_58xd_log_Bus-Y5,253 ,12
ENG141673-ENG115658-Suchbeleuchtung_KL_58xd_max-x0,0 lx,10
ENG141673-ENG101574-Suchbeleuchtung_KL_58xd_max-X1,8 lx,10
ENG141673-ENG99557-Suchbeleuchtung_KL_58xd_max-X2,200 lx,10
ENG141673-ENG102140-Suchbeleuchtung_KL_58xd_max-X3,300 lx,10
ENG141673-ENG102936-Suchbeleuchtung_KL_58xd_max-X4,500 lx,10
ENG141673-ENG115659-Suchbeleuchtung_KL_58xd_max-y0,16.0 ,10
ENG141673-ENG99777-Suchbeleuchtung_KL_58xd_max-Y1,16.0 ,10
ENG141673-ENG100480-Suchbeleuchtung_KL_58xd_max-Y2,100.0 ,10
ENG141673-ENG100773-Suchbeleuchtung_KL_58xd_max-Y3,100.0 ,10
ENG141673-ENG100631-Suchbeleuchtung_KL_58xd_max-Y4,100.0 ,10
ENG141672-ENG115658-Suchbeleuchtung_KL_58xd_min-x0,0 lx,10
ENG141672-ENG101574-Suchbeleuchtung_KL_58xd_min-X1,8 lx,10
ENG141672-ENG99557-Suchbeleuchtung_KL_58xd_min-X2,220 lx,10
ENG141672-ENG102140-Suchbeleuchtung_KL_58xd_min-X3,300 lx,10
ENG141672-ENG102936-Suchbeleuchtung_KL_58xd_min-X4,500 lx,10
ENG141672-ENG115659-Suchbeleuchtung_KL_58xd_min-y0,6.0 ,10
ENG141672-ENG99777-Suchbeleuchtung_KL_58xd_min-Y1,6.0 ,10
ENG141672-ENG100480-Suchbeleuchtung_KL_58xd_min-Y2,100.0 ,10
ENG141672-ENG100773-Suchbeleuchtung_KL_58xd_min-Y3,100.0 ,10
ENG141672-ENG100631-Suchbeleuchtung_KL_58xd_min-Y4,100.0 ,10
ENG141677-ENG115658-Suchbeleuchtung_KL_58xd_PWM-x0,0 ,12
ENG141677-ENG101574-Suchbeleuchtung_KL_58xd_PWM-X1,10 ,12
ENG141677-ENG99557-Suchbeleuchtung_KL_58xd_PWM-X2,50 ,12
ENG141677-ENG102140-Suchbeleuchtung_KL_58xd_PWM-X3,100 ,12
ENG141677-ENG102936-Suchbeleuchtung_KL_58xd_PWM-X4,220 ,12
ENG141677-ENG103548-Suchbeleuchtung_KL_58xd_PWM-X5,253 ,12
ENG141677-ENG115659-Suchbeleuchtung_KL_58xd_PWM-y0,2.0 %,12
ENG141677-ENG99777-Suchbeleuchtung_KL_58xd_PWM-Y1,2.0 %,12
ENG141677-ENG100480-Suchbeleuchtung_KL_58xd_PWM-Y2,6.0 %,12
ENG141677-ENG100773-Suchbeleuchtung_KL_58xd_PWM-Y3,10.0 %,12
ENG141677-ENG100631-Suchbeleuchtung_KL_58xd_PWM-Y4,80.0 %,12
ENG141677-ENG102174-Suchbeleuchtung_KL_58xd_PWM-Y5,100.0 %,12
ENG141670-ENG115658-Suchbeleuchtung_KL_58xt min-x0,0 lx,8
ENG141670-ENG101574-Suchbeleuchtung_KL_58xt min-X1,8 lx,8
ENG141670-ENG99557-Suchbeleuchtung_KL_58xt min-X2,50 lx,8
ENG141670-ENG102140-Suchbeleuchtung_KL_58xt min-X3,500 lx,8
ENG141670-ENG115659-Suchbeleuchtung_KL_58xt min-y0,6.0 ,8
ENG141670-ENG99777-Suchbeleuchtung_KL_58xt min-Y1,6.0 ,8
ENG141670-ENG100480-Suchbeleuchtung_KL_58xt min-Y2,100.0 ,8
ENG141670-ENG100773-Suchbeleuchtung_KL_58xt min-Y3,100.0 ,8
ENG141671-ENG115658-Suchbeleuchtung_KL_58xt_max-x0,0 lx,8
ENG141671-ENG101574-Suchbeleuchtung_KL_58xt_max-X1,8 lx,8
ENG141671-ENG99557-Suchbeleuchtung_KL_58xt_max-X2,50 lx,8
ENG141671-ENG102140-Suchbeleuchtung_KL_58xt_max-X3,500 lx,8
ENG141671-ENG115659-Suchbeleuchtung_KL_58xt_max-y0,100.0 ,8
ENG141671-ENG99777-Suchbeleuchtung_KL_58xt_max-Y1,100.0 ,8
ENG141671-ENG100480-Suchbeleuchtung_KL_58xt_max-Y2,100.0 ,8
ENG141671-ENG100773-Suchbeleuchtung_KL_58xt_max-Y3,100.0 ,8
ENG141676-ENG115658-Suchbeleuchtung_KL_58xt_PWM-x0,0.0 %,6
ENG141676-ENG101574-Suchbeleuchtung_KL_58xt_PWM-X1,50.0 %,6
ENG141676-ENG99557-Suchbeleuchtung_KL_58xt_PWM-X2,100.0 %,6
ENG141676-ENG115659-Suchbeleuchtung_KL_58xt_PWM-y0,0.0 %,6
ENG141676-ENG99777-Suchbeleuchtung_KL_58xt_PWM-Y1,50.0 %,6
ENG141676-ENG100480-Suchbeleuchtung_KL_58xt_PWM-Y2,100.0 %,6
ENG141680-ENG115658-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-x0,0 lx,12
ENG141680-ENG101574-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-X1,10 lx,12
ENG141680-ENG99557-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-X2,100 lx,12
ENG141680-ENG102140-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-X3,500 lx,12
ENG141680-ENG102936-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-X4,800 lx,12
ENG141680-ENG103548-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-X5,1020 lx,12
ENG141680-ENG115659-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-y0,0 ,12
ENG141680-ENG99777-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-Y1,20 ,12
ENG141680-ENG100480-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-Y2,80 ,12
ENG141680-ENG100773-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-Y3,180 ,12
ENG141680-ENG100631-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-Y4,300 ,12
ENG141680-ENG102174-Suchbeleuchtung_Regen_Licht_Sensor_Mapping_Kennlinie-Y5,500 ,12
ENG141664-ENG115633-Suchbeleuchtung_Tasterdimmung-Tasterdimmung x0,0 ms,10
ENG141664-ENG115634-Suchbeleuchtung_Tasterdimmung-Tasterdimmung x1,2000 ms,10
ENG141664-ENG115635-Suchbeleuchtung_Tasterdimmung-Tasterdimmung x2,3000 ms,10
ENG141664-ENG115636-Suchbeleuchtung_Tasterdimmung-Tasterdimmung x3,4000 ms,10
ENG141664-ENG115637-Suchbeleuchtung_Tasterdimmung-Tasterdimmung x4,5100 ms,10
