;SW:5NA-035-020-D   HW:5NA-035-020 ---  Information Electr.
;Component:MU-H-ND-EU    H54 1367, Coding:02738001FF0000004111010100880A231F0105D4012005009E
ENG122227-ENG117585-Car_Function_Adaptations_Gen2-menu_display_vin_after_disclaimer,not activated ,60
ENG122227-ENG117582-Car_Function_Adaptations_Gen2-menu_display_vin_clamp_15_off,not activated ,60
ENG122227-ENG117583-Car_Function_Adaptations_Gen2-menu_display_vin_over_threshold_high,activated ,60
ENG122227-ENG117584-Car_Function_Adaptations_Gen2-menu_display_vin_standstill,not activated ,60
ENG122227-ENG117661-Car_Function_Adaptations_Gen2-menu_display_weariness_recognition,activated ,60
ENG122227-ENG117665-Car_Function_Adaptations_Gen2-menu_display_weariness_recognition_after_disclaimer,not activated ,60
ENG122227-ENG117662-Car_Function_Adaptations_Gen2-menu_display_weariness_recognition_clamp_15_off,not activated ,60
ENG122227-ENG117663-Car_Function_Adaptations_Gen2-menu_display_weariness_recognition_over_threshold_high,activated ,60
ENG122227-ENG117664-Car_Function_Adaptations_Gen2-menu_display_weariness_recognition_standstill,not activated ,60
ENG122227-ENG117521-Car_Function_Adaptations_Gen2-menu_display_windows,activated ,60
ENG122227-ENG117525-Car_Function_Adaptations_Gen2-menu_display_windows_after_disclaimer,not activated ,60
ENG122227-ENG117522-Car_Function_Adaptations_Gen2-menu_display_windows_clamp_15_off,not activated ,60
ENG122227-ENG117523-Car_Function_Adaptations_Gen2-menu_display_windows_over_threshold_high,activated ,60
ENG122227-ENG117524-Car_Function_Adaptations_Gen2-menu_display_windows_standstill,not activated ,60
ENG122227-ENG117546-Car_Function_Adaptations_Gen2-menu_display_wiper,activated ,60
ENG122227-ENG117550-Car_Function_Adaptations_Gen2-menu_display_wiper_after_disclaimer,not activated ,60
ENG122227-ENG117547-Car_Function_Adaptations_Gen2-menu_display_wiper_clamp_15_off,not activated ,60
ENG122227-ENG117548-Car_Function_Adaptations_Gen2-menu_display_wiper_over_threshold_high,activated ,60
ENG122227-ENG117549-Car_Function_Adaptations_Gen2-menu_display_wiper_standstill,not activated ,60
ENG122227-ENG142092-Car_Function_Adaptations_Gen2-menu_soundcontrol,not activated ,60
ENG122227-ENG142096-Car_Function_Adaptations_Gen2-menu_soundcontrol_after_disclaimer,not activated ,60
ENG122227-ENG142093-Car_Function_Adaptations_Gen2-menu_soundcontrol_clamp_15_off,not activated ,60
ENG122227-ENG142094-Car_Function_Adaptations_Gen2-menu_soundcontrol_over_threshold_high,not activated ,60
ENG122227-ENG142095-Car_Function_Adaptations_Gen2-menu_soundcontrol_standstill,not activated ,60
ENG122229-ENG117700-Car_Function_List_BAP_Gen2-ACC_0x05,activated ,64
ENG122229-ENG117701-Car_Function_List_BAP_Gen2-ACC_0x05_msg_bus,Extended data bus ,64
ENG122229-ENG117702-Car_Function_List_BAP_Gen2-air_suspension_0x06,not activated ,64
ENG122229-ENG117703-Car_Function_List_BAP_Gen2-air_suspension_0x06_msg_bus,Suspension data bus ,64
ENG122229-ENG117764-Car_Function_List_BAP_Gen2-Amplifier_0x2D,not activated ,64
ENG122229-ENG117765-Car_Function_List_BAP_Gen2-Amplifier_0x2D_msg_bus,Infotainment data bus ,64
ENG122229-ENG122334-Car_Function_List_BAP_Gen2-Angle_Of_Slope_0x24,not activated ,64
ENG122229-ENG122335-Car_Function_List_BAP_Gen2-Angle_Of_Slope_0x24_msg_bus,not activated ,64
ENG122229-ENG117696-Car_Function_List_BAP_Gen2-auxilary_heating_0x03,not activated ,64
ENG122229-ENG117697-Car_Function_List_BAP_Gen2-auxilary_heating_0x03_msg_bus,Comfort data bus ,64
ENG122229-ENG117744-Car_Function_List_BAP_Gen2-AWV_0x1B,activated ,64
ENG122229-ENG117745-Car_Function_List_BAP_Gen2-AWV_0x1B_msg_bus,Terminal 15 ,64
ENG122229-ENG122336-Car_Function_List_BAP_Gen2-Battery_Management_0x25,activated ,64
ENG122229-ENG122337-Car_Function_List_BAP_Gen2-Battery_Management_0x25_msg_bus,Powertrain data bus ,64
ENG122229-ENG117758-Car_Function_List_BAP_Gen2-BCmE_0x23,activated ,64
ENG122229-ENG117759-Car_Function_List_BAP_Gen2-BCmE_0x23_msg_bus,Infotainment data bus ,64
ENG122229-ENG117760-Car_Function_List_BAP_Gen2-Brake_0x26,activated ,64
ENG122229-ENG117761-Car_Function_List_BAP_Gen2-Brake_0x26_msg_bus,Suspension data bus ,64
ENG122229-ENG117717-Car_Function_List_BAP_Gen2-central_locking_0x0D,activated ,64
ENG122229-ENG117716-Car_Function_List_BAP_Gen2-central_locking_0x0D_msg_bus,Comfort data bus ,64
ENG122229-ENG117736-Car_Function_List_BAP_Gen2-charisma_0x17,activated ,64
ENG122229-ENG117737-Car_Function_List_BAP_Gen2-charisma_0x17_msg_bus,Infotainment data bus ,64
ENG122229-ENG117734-Car_Function_List_BAP_Gen2-clima_slave_2_0x16,not activated ,64
ENG122229-ENG117735-Car_Function_List_BAP_Gen2-clima_slave_2_0x16_msg_bus,Comfort data bus ,64
ENG122229-ENG117692-Car_Function_List_BAP_Gen2-climatic_master_0x01,activated ,64
ENG122229-ENG117693-Car_Function_List_BAP_Gen2-climatic_master_0x01_msg_bus,Comfort data bus ,64
ENG122229-ENG117694-Car_Function_List_BAP_Gen2-climatic_slave_0x02,not activated ,64
ENG122229-ENG117695-Car_Function_List_BAP_Gen2-climatic_slave_0x02_msg_bus,Comfort data bus ,64
ENG122229-ENG117724-Car_Function_List_BAP_Gen2-clock_0x11,activated ,64
ENG122229-ENG117725-Car_Function_List_BAP_Gen2-clock_0x11_msg_bus,Comfort data bus ,64
ENG122229-ENG117732-Car_Function_List_BAP_Gen2-compass_0x15,not activated ,64
ENG122229-ENG117733-Car_Function_List_BAP_Gen2-compass_0x15_msg_bus,not activated ,64
ENG122229-ENG117722-Car_Function_List_BAP_Gen2-driver_seat_0x10,not activated ,64
ENG122229-ENG117723-Car_Function_List_BAP_Gen2-driver_seat_0x10_msg_bus,Comfort data bus ,64
ENG122229-ENG125039-Car_Function_List_BAP_Gen2-Ecall_0x33,activated ,64
ENG122229-ENG125828-Car_Function_List_BAP_Gen2-eCall_0x33_msg_bus,Comfort data bus ,64
ENG122229-ENG127500-Car_Function_List_BAP_Gen2-efficiency_assis_msg_bus_0x3C,Powertrain data bus ,64
ENG122229-ENG127499-Car_Function_List_BAP_Gen2-efficiency_assist_0x3C,activated ,64
ENG122229-ENG125829-Car_Function_List_BAP_Gen2-ENI_0x37,activated ,64
ENG122229-ENG125830-Car_Function_List_BAP_Gen2-ENI_0x37_msg_bus,Comfort data bus ,64
ENG122229-ENG152531-Car_Function_List_BAP_Gen2-ExBoxM2_0x38,not activated ,64
ENG122229-ENG152532-Car_Function_List_BAP_Gen2-ExBoxM2_0x38_msg_bus,Comfort data bus ,64
ENG122229-ENG117708-Car_Function_List_BAP_Gen2-exterieur_light_0x09,activated ,64
ENG122229-ENG117709-Car_Function_List_BAP_Gen2-exterieur_light_0x09_msg_bus,Comfort data bus ,64
ENG122229-ENG117698-Car_Function_List_BAP_Gen2-headup_displ_0x04,not activated ,64
ENG122229-ENG117699-Car_Function_List_BAP_Gen2-headup_displ_0x04_msg_bus,Comfort data bus ,64
ENG122229-ENG117746-Car_Function_List_BAP_Gen2-Hybrid_0x1D,activated ,64
ENG122229-ENG117747-Car_Function_List_BAP_Gen2-Hybrid_0x1D_msg_bus,Powertrain data bus ,64
ENG122229-ENG117706-Car_Function_List_BAP_Gen2-interieur_light_0x08,activated ,64
ENG122229-ENG117707-Car_Function_List_BAP_Gen2-interieur_light_0x08_msg_bus,Comfort data bus ,64
ENG122229-ENG117740-Car_Function_List_BAP_Gen2-LDW_HCA_0x19,activated ,64
ENG122229-ENG117741-Car_Function_List_BAP_Gen2-LDW_HCA_0x19_msg_bus,Extended data bus ,64
ENG122229-ENG117720-Car_Function_List_BAP_Gen2-MFA_0x0F,activated ,64
ENG122229-ENG117721-Car_Function_List_BAP_Gen2-MFA_0x0F_msg_bus,Comfort data bus ,64
ENG122229-ENG117767-Car_Function_List_BAP_Gen2-MFL_Jocker_0x34,not activated ,64
ENG122229-ENG117766-Car_Function_List_BAP_Gen2-MFL_Jocker_msg_bus_0x34,Infotainment data bus ,64
ENG122229-ENG117719-Car_Function_List_BAP_Gen2-mirror_0x0E,activated ,64
ENG122229-ENG117718-Car_Function_List_BAP_Gen2-mirror_0x0E_msg_bus,Comfort data bus ,64
ENG122229-ENG117738-Car_Function_List_BAP_Gen2-Night_Vision_0x18,not activated ,64
ENG122229-ENG117739-Car_Function_List_BAP_Gen2-Night_Vision_0x18_msg_bus,not activated ,64
ENG122229-ENG117710-Car_Function_List_BAP_Gen2-parking_assist_0x0A,activated ,64
ENG122229-ENG117711-Car_Function_List_BAP_Gen2-parking_assist_0x0A_msg_bus,Terminal 15 ,64
ENG122229-ENG117752-Car_Function_List_BAP_Gen2-Passenger_Seat_0x20,not activated ,64
ENG122229-ENG117753-Car_Function_List_BAP_Gen2-Passenger_Seat_0x20_msg_bus,Comfort data bus ,64
ENG122229-ENG125831-Car_Function_List_BAP_Gen2-Pedestrian_Assist_0x3A,not activated ,64
ENG122229-ENG125832-Car_Function_List_BAP_Gen2-Pedestrian_Assist_msg_bus_0x3A,Extended data bus ,64
ENG122229-ENG122333-Car_Function_List_BAP_Gen2-Range_Data_0x39,activated ,64
ENG122229-ENG125827-Car_Function_List_BAP_Gen2-Range_Data_msg_bus_0x39,Infotainment data bus ,64
ENG122229-ENG122327-Car_Function_List_BAP_Gen2-RearSeatEntertainment_0x2E,not activated ,64
ENG122229-ENG122328-Car_Function_List_BAP_Gen2-RearSeatEntertainment_0x2E_msg_bus,Comfort data bus ,64
ENG122229-ENG117750-Car_Function_List_BAP_Gen2-Reversible_Seat_Belt_Tightener_0x1F,activated ,64
ENG122229-ENG117751-Car_Function_List_BAP_Gen2-Reversible_Seat_Belt_Tightener_0x1F_msg_bus,Powertrain data bus ,64
ENG122229-ENG125833-Car_Function_List_BAP_Gen2-Seat_Pneumatic_0x3B,not activated ,64
ENG122229-ENG125834-Car_Function_List_BAP_Gen2-Seat_Pneumatic_msg_bus_0x3B,Comfort data bus ,64
ENG122229-ENG139200-Car_Function_List_BAP_Gen2-Seatmemory_codriver_rear_0x3F,not activated ,64
ENG122229-ENG139201-Car_Function_List_BAP_Gen2-Seatmemory_codriver_rear_msg_bus_0x3F,Comfort data bus ,64
ENG122229-ENG139198-Car_Function_List_BAP_Gen2-Seatmemory_driver_rear_0x3E,not activated ,64
ENG122229-ENG139199-Car_Function_List_BAP_Gen2-Seatmemory_driver_rear_msg_bus_0x3E,Comfort data bus ,64
ENG122229-ENG117726-Car_Function_List_BAP_Gen2-service_interval_display_0x12,activated ,64
ENG122229-ENG117727-Car_Function_List_BAP_Gen2-service_interval_display_0x12_msg_bus,Comfort data bus ,64
ENG122229-ENG117748-Car_Function_List_BAP_Gen2-SideView_0x1E,not activated ,64
ENG122229-ENG117749-Car_Function_List_BAP_Gen2-SideView_0x1E_msg_bus,not activated ,64
ENG122229-ENG122329-Car_Function_List_BAP_Gen2-Special_Functions_0x35,not activated ,64
ENG122229-ENG122330-Car_Function_List_BAP_Gen2-Special_Functions_msg_bus_0x35,Comfort data bus ,64
ENG122229-ENG117762-Car_Function_List_BAP_Gen2-Start_Stop_reasons_0x27,not activated ,64
ENG122229-ENG117763-Car_Function_List_BAP_Gen2-Start_Stop_reasons_0x27_msg_bus,Infotainment data bus ,64
ENG122229-ENG117742-Car_Function_List_BAP_Gen2-SWA_0x1A,activated ,64
ENG122229-ENG117743-Car_Function_List_BAP_Gen2-SWA_0x1A_msg_bus,Extended data bus ,64
ENG122229-ENG117704-Car_Function_List_BAP_Gen2-tire_pressure_system_0x07,activated ,64
ENG122229-ENG117705-Car_Function_List_BAP_Gen2-tire_pressure_system_0x07_msg_bus,Suspension data bus ,64
ENG122229-ENG117754-Car_Function_List_BAP_Gen2-traffic_sign_recognition_0x21,activated ,64
ENG122229-ENG117755-Car_Function_List_BAP_Gen2-traffic_sign_recognition_0x21_msg_bus,Extended data bus ,64
ENG122229-ENG122331-Car_Function_List_BAP_Gen2-Trailer_Assistant_0x36,not activated ,64
ENG122229-ENG122332-Car_Function_List_BAP_Gen2-Trailer_Assistant_msg_bus_0x36,Comfort data bus ,64
ENG122229-ENG122325-Car_Function_List_BAP_Gen2-TV_tuner_0x2C,not activated ,64
ENG122229-ENG122326-Car_Function_List_BAP_Gen2-TV_tuner_0x2C_msg_bus,Comfort data bus ,64
ENG122229-ENG117730-Car_Function_List_BAP_Gen2-UGDO_0x14,not activated ,64
ENG122229-ENG117731-Car_Function_List_BAP_Gen2-UGDO_0x14_msg_bus,Terminal 15 ,64
ENG122229-ENG117728-Car_Function_List_BAP_Gen2-unit_master_0x13,activated ,64
ENG122229-ENG117729-Car_Function_List_BAP_Gen2-unit_master_0x13_msg_bus,Comfort data bus ,64
ENG122229-ENG117712-Car_Function_List_BAP_Gen2-VPS_0x0B,not activated ,64
ENG122229-ENG117713-Car_Function_List_BAP_Gen2-VPS_0x0B_msg_bus,Infotainment data bus ,64
ENG122229-ENG117756-Car_Function_List_BAP_Gen2-weariness_rcognition_0x22,activated ,64
ENG122229-ENG117757-Car_Function_List_BAP_Gen2-weariness_rcognition_0x22_msg_bus,Infotainment data bus ,64
ENG122229-ENG117714-Car_Function_List_BAP_Gen2-wiper_comfort_0x0C,activated ,64
ENG122229-ENG117715-Car_Function_List_BAP_Gen2-wiper_comfort_0x0C_msg_bus,Comfort data bus ,64
ENG122228-ENG127498-Car_Function_List_CAN_Gen2-Adaptive_key,Not available ,8
ENG122228-ENG117690-Car_Function_List_CAN_Gen2-Adaptive_key_msg_bus,Comfort data bus ,8
ENG122228-ENG117688-Car_Function_List_CAN_Gen2-Driving_school,Not available ,8
ENG122228-ENG117689-Car_Function_List_CAN_Gen2-Driving_school_msg_bus,Infotainment data bus ,8
ENG122228-ENG107608-Car_Function_List_CAN_Gen2-MFL,Available ,8
ENG122228-ENG117681-Car_Function_List_CAN_Gen2-MFL_msg_bus,Infotainment data bus ,8
ENG122228-ENG117683-Car_Function_List_CAN_Gen2-Oil_level,Not available ,8
ENG122228-ENG117684-Car_Function_List_CAN_Gen2-Oil_level_msg_bus,Powertrain data bus ,8
ENG122228-ENG117685-Car_Function_List_CAN_Gen2-PDC_audio_lowering,Available ,8
ENG122228-ENG117686-Car_Function_List_CAN_Gen2-PDC_audio_lowering_msg_bus,Suspension data bus ,8
ENG122228-ENG98891-Car_Function_List_CAN_Gen2-Reserved,Not available ,8
ENG122228-ENG101416-Car_Function_List_CAN_Gen2-Reserved_1,Comfort data bus ,8
ENG122228-ENG99458-Car_Function_List_CAN_Gen2-Reserved_2,Comfort data bus ,8
ENG122228-ENG99668-Car_Function_List_CAN_Gen2-Reserved_3,Not available ,8
ENG122228-ENG99892-Car_Function_List_CAN_Gen2-VIN,Available ,8
ENG122228-ENG117687-Car_Function_List_CAN_Gen2-VIN_msg_bus,Comfort data bus ,8
ENG122230-ENG142097-Dashboard_Display_Configuration-ability_switch_nav_maps,OFF ,10
ENG122230-ENG122343-Dashboard_Display_Configuration-call_picture,OFF ,10
ENG122230-ENG122341-Dashboard_Display_Configuration-coverart,OFF ,10
ENG122230-ENG122340-Dashboard_Display_Configuration-crossroad_detail_map_compression_mode,RLE ,10
ENG122230-ENG122344-Dashboard_Display_Configuration-crossroad_detail_map_resolution,resolution_1 ,10
ENG122230-ENG127006-Dashboard_Display_Configuration-crossroad_detail_map_transmission_mode,OFF ,10
ENG122230-ENG142153-Dashboard_Display_Configuration-dynamic_icon,0 ,10
ENG122230-ENG127501-Dashboard_Display_Configuration-fastlist_most,OFF ,10
ENG122230-ENG122338-Dashboard_Display_Configuration-navigation_map_compression_mode,RLE ,10
ENG122230-ENG122339-Dashboard_Display_Configuration-navigation_map_resolution,resolution_1 ,10
ENG122230-ENG127005-Dashboard_Display_Configuration-navigation_map_transmission_mode,OFF ,10
ENG122230-ENG122342-Dashboard_Display_Configuration-stationart,OFF ,10
ENG117913-ENG101574-Dimming_Ambient_Illumination_Information_Control_Unit-X1,0 ,6
ENG117913-ENG99557-Dimming_Ambient_Illumination_Information_Control_Unit-X2,50 ,6
ENG117913-ENG102140-Dimming_Ambient_Illumination_Information_Control_Unit-X3,100 ,6
ENG117913-ENG99777-Dimming_Ambient_Illumination_Information_Control_Unit-Y1,0 ,6
ENG117913-ENG100480-Dimming_Ambient_Illumination_Information_Control_Unit-Y2,50 ,6
ENG117913-ENG100773-Dimming_Ambient_Illumination_Information_Control_Unit-Y3,100 ,6
ENG117914-ENG101574-Dimming_Ambient_Illumination_Operating_and_Display_Unit-X1,0 ,6
ENG117914-ENG99557-Dimming_Ambient_Illumination_Operating_and_Display_Unit-X2,50 ,6
ENG117914-ENG102140-Dimming_Ambient_Illumination_Operating_and_Display_Unit-X3,100 ,6
ENG117914-ENG99777-Dimming_Ambient_Illumination_Operating_and_Display_Unit-Y1,0 ,6
ENG117914-ENG100480-Dimming_Ambient_Illumination_Operating_and_Display_Unit-Y2,50 ,6
ENG117914-ENG100773-Dimming_Ambient_Illumination_Operating_and_Display_Unit-Y3,100 ,6
ENG117916-ENG101574-Dimming_Illumination_for_Display_Unit-X1,0 ,12
ENG117916-ENG99557-Dimming_Illumination_for_Display_Unit-X2,10 ,12
ENG117916-ENG102140-Dimming_Illumination_for_Display_Unit-X3,50 ,12
ENG117916-ENG102936-Dimming_Illumination_for_Display_Unit-X4,100 ,12
ENG117916-ENG103548-Dimming_Illumination_for_Display_Unit-X5,150 ,12
ENG117916-ENG113992-Dimming_Illumination_for_Display_Unit-X6,253 ,12
ENG117916-ENG99777-Dimming_Illumination_for_Display_Unit-Y1,1 %,12
ENG117916-ENG100480-Dimming_Illumination_for_Display_Unit-Y2,1 %,12
ENG117916-ENG100773-Dimming_Illumination_for_Display_Unit-Y3,3 %,12
ENG117916-ENG100631-Dimming_Illumination_for_Display_Unit-Y4,6 %,12
ENG117916-ENG102174-Dimming_Illumination_for_Display_Unit-Y5,44 %,12
ENG117916-ENG113993-Dimming_Illumination_for_Display_Unit-Y6,100 %,12
ENG117911-ENG117768-FM_Delay_Adaption-Parameter_Adaption_FM_Delay,0 ms,3
ENG117911-ENG117769-FM_Delay_Adaption-Seamless_linking_automatic,On ,3
ENG141636-ENG142049-Key_code_monitoring-monitoring_keycode_0x00_0x07,FF ,32
ENG141636-ENG142050-Key_code_monitoring-monitoring_keycode_0x08_0x0F,FF ,32
ENG141636-ENG142051-Key_code_monitoring-monitoring_keycode_0x10_0x17,FF ,32
ENG141636-ENG142052-Key_code_monitoring-monitoring_keycode_0x18_0x1F,FF ,32
ENG141636-ENG142053-Key_code_monitoring-monitoring_keycode_0x20_0x27,FF ,32
ENG141636-ENG142054-Key_code_monitoring-monitoring_keycode_0x28_0x2F,FF ,32
ENG141636-ENG142055-Key_code_monitoring-monitoring_keycode_0x30_0x37,FF ,32
ENG141636-ENG142056-Key_code_monitoring-monitoring_keycode_0x38_0x3F,FF ,32
ENG141636-ENG142057-Key_code_monitoring-monitoring_keycode_0x40_0x47,FF ,32
ENG141636-ENG142058-Key_code_monitoring-monitoring_keycode_0x48_0x4F,FF ,32
ENG141636-ENG142059-Key_code_monitoring-monitoring_keycode_0x50_0x57,FF ,32
ENG141636-ENG142060-Key_code_monitoring-monitoring_keycode_0x58_0x5F,FF ,32
ENG141636-ENG142061-Key_code_monitoring-monitoring_keycode_0x60_0x67,FF ,32
ENG141636-ENG142062-Key_code_monitoring-monitoring_keycode_0x68_0x6F,FF ,32
ENG141636-ENG142063-Key_code_monitoring-monitoring_keycode_0x70_0x77,FF ,32
ENG141636-ENG142064-Key_code_monitoring-monitoring_keycode_0x78_0x7F,FF ,32
ENG141636-ENG142065-Key_code_monitoring-monitoring_keycode_0x80_0x87,FF ,32
ENG141636-ENG142066-Key_code_monitoring-monitoring_keycode_0x88_0x8F,FF ,32
ENG141636-ENG142067-Key_code_monitoring-monitoring_keycode_0x90_0x97,FF ,32
ENG141636-ENG142068-Key_code_monitoring-monitoring_keycode_0x98_0x9F,FF ,32
ENG141636-ENG142069-Key_code_monitoring-monitoring_keycode_0xA0_0xA7,FF ,32
ENG141636-ENG142070-Key_code_monitoring-monitoring_keycode_0xA8_0xAF,FF ,32
ENG141636-ENG142071-Key_code_monitoring-monitoring_keycode_0xB0_0xB7,FF ,32
ENG141636-ENG142072-Key_code_monitoring-monitoring_keycode_0xB8_0xBF,FF ,32
ENG141636-ENG142073-Key_code_monitoring-monitoring_keycode_0xC0_0xC7,FF ,32
ENG141636-ENG142074-Key_code_monitoring-monitoring_keycode_0xC8_0xCF,FF ,32
ENG141636-ENG142075-Key_code_monitoring-monitoring_keycode_0xD0_0xD7,FF ,32
ENG141636-ENG142076-Key_code_monitoring-monitoring_keycode_0xD8_0xDF,FF ,32
ENG141636-ENG142077-Key_code_monitoring-monitoring_keycode_0xE0_0xE7,FF ,32
ENG141636-ENG142078-Key_code_monitoring-monitoring_keycode_0xE8_0xEF,FF ,32
ENG141636-ENG142079-Key_code_monitoring-monitoring_keycode_0xF0_0xF7,FF ,32
ENG141636-ENG142080-Key_code_monitoring-monitoring_keycode_0xF8_0xFF,FF ,32
ENG107658-ENG126192-mobile phone voice control availability-apple_device,not installed ,1
ENG107658-ENG126193-mobile phone voice control availability-other_devices,not installed ,1
ENG167428-ENG167502-nhtsa_properties-limitation_dependency,Speed_threshold ,5
ENG167428-ENG167510-nhtsa_properties-nhtsa_limitation_switches_for_androidauto_limit_displayed_message_length,activated ,5
ENG167428-ENG167511-nhtsa_properties-nhtsa_limitation_switches_for_androidauto_no_setup_configuration,activated ,5
ENG167428-ENG167512-nhtsa_properties-nhtsa_limitation_switches_for_androidauto_no_text_input,not activated ,5
ENG167428-ENG167513-nhtsa_properties-nhtsa_limitation_switches_for_androidauto_no_video_playback,activated ,5
ENG167428-ENG167514-nhtsa_properties-nhtsa_limitation_switches_for_androidauto_no_voice _input,not activated ,5
ENG167428-ENG167515-nhtsa_properties-nhtsa_limitation_switches_for_carplay_limit_musicLists,not activated ,5
ENG167428-ENG167516-nhtsa_properties-nhtsa_limitation_switches_for_carplay_limit_nonMusicLists,not activated ,5
ENG167428-ENG167517-nhtsa_properties-nhtsa_limitation_switches_for_carplay_no_japanMaps,not activated ,5
ENG167428-ENG167518-nhtsa_properties-nhtsa_limitation_switches_for_carplay_no_softKeyboard,not activated ,5
ENG167428-ENG167519-nhtsa_properties-nhtsa_limitation_switches_for_carplay_no_softPhoneKeypad,not activated ,5
ENG117921-Operating_and_Display_Unit_1_Proximity_Sensor_Basic_Adaptation,01 01 28 02 50 02 50 02 28 02 50 02 64 02 6E 02 78 02 3C 02 3C 02 3C 02 50 02 1E 02 1E 02 1E 02 1E 02 02 02 02 14 05 48 ,40
ENG117809-p_damping_Display,5 ms,1
ENG117808-p_HMI_Display,13 %,1
ENG122219-ENG122287-Radio_Level_Quality_Offsets-Set_AM_Quality_Level_Offset,0 ,2
ENG122219-ENG122288-Radio_Level_Quality_Offsets-Set_FM_Quality_Level_Offset,0 ,2
ENG117912-ENG117775-Select_Remote_Test_DAB_Service-Parameter_Adaption_Service_ID,Conditions not correct or request sequence error,2
ENG117912-ENG117776-Select_Remote_Test_DAB_Service-Parameter_Adaption_Subservice_ID,Conditions not correct or request sequence error,2
ENG117910-Set_Remote_Test_Channel_Scanning,Conditions not correct or request sequence error,2
ENG117908-Shift_Remote_Test_Frequency_AM,Conditions not correct or request sequence error,2
ENG117909-Shift_Remote_Test_Frequency_DAB,Conditions not correct or request sequence error,2
ENG117907-Shift_Remote_Test_Frequency_FM,Conditions not correct or request sequence error,2
ENG117906-Shift_Remote_Test_Volume,Conditions not correct or request sequence error,2
ENG117919-Startup_Screen_Sticker_HMI,00 00 ,2
ENG117905-ENG99753-Testmode_Video_speed_cutoff-PIN,0 ,3
ENG117905-ENG109008-Testmode_Video_speed_cutoff-speed_limit,0 km/h,3


Elapsed Time: 01:12
